,cprcode,brcode,ib_cf_qty,new_ib_vs_stock_cv
534,0010653,1000,2,2
535,0010674,1000,10,10
536,0010736,1000,0,0
537,0010757,1000,10,10
538,0010758,1000,21,21
539,0010896,1000,5,5
540,0010914,1000,9,9
541,0010917,1000,15,15
542,0010932,1000,0,0
543,0010935,1000,0,0
544,0011048,1000,15,15
545,0011049,1000,15,15
546,0011180,1000,6,6
547,0011194,1000,0,0
548,0011195,1000,7,7
549,0011221,1000,0,0
550,0011249,1000,15,15
551,0011252,1000,4,4
552,0011368,1000,0,0
553,0011372,1000,0,0
554,0011425,1000,6,6
555,0011672,1000,6,6
556,0011685,1000,10,10
557,0011875,1000,0,0
558,0011917,1000,7,7
559,0011927,1000,10,10
560,0011945,1000,13,13
561,0011956,1000,15,15
562,0011957,1000,1,1
563,0011959,1000,26,26
564,0012018,1000,11,11
565,0012166,1000,12,12
566,0012175,1000,7,7
567,0012185,1000,35,35
568,0012271,1000,0,0
569,0012319,1000,0,0
570,0012421,1000,6,6
571,0012438,1000,11,11
572,0012440,1000,7,7
573,0012441,1000,9,9
574,0012608,1000,4,4
575,0012609,1000,0,0
576,0012639,1000,25,25
577,0012640,1000,26,26
578,0012641,1000,12,12
579,0012642,1000,20,20
580,0012728,1000,0,0
581,0012731,1000,0,0
582,0013336,1000,12,12
583,0013489,1000,0,0
584,0013829,1000,20,20
585,0013862,1000,0,0
586,0013863,1000,5,5
587,0014099,1000,24,24
588,0014100,1000,40,40
589,0014103,1000,20,20
590,0014104,1000,28,28
591,0014105,1000,40,40
592,0014106,1000,31,31
593,0014173,1000,40,40
594,0014189,1000,18,18
595,0014203,1000,24,24
596,0014205,1000,19,19
597,0014206,1000,64,64
598,0014210,1000,10,10
599,0014459,1000,37,37
600,0014464,1000,4,4
601,0014517,1000,15,15
602,0015095,1000,29,29
603,0015127,1000,49,49
604,0015128,1000,13,13
605,0015132,1000,0,0
606,0015155,1000,0,0
607,0015250,1000,12,12
608,0015251,1000,5,5
609,0016343,1000,4,4
610,0018997,1000,18,18
611,0018998,1000,18,18
612,0019043,1000,0,0
613,0019044,1000,0,0
614,0019149,1000,12,12
615,0019150,1000,-1,-1
616,0019151,1000,14,14
617,0019415,1000,0,0
618,0020282,1000,0,0
619,0020286,1000,120,120
620,0020287,1000,86,86
621,0020290,1000,98,98
622,0020291,1000,111,111
623,0020294,1000,-3,-3
624,0020295,1000,31,31
625,0020296,1000,33,33
626,0020297,1000,18,18
627,0020298,1000,51,51
628,0020299,1000,71,71
629,0020308,1000,48,48
630,0020312,1000,3,3
631,0020313,1000,35,35
632,0020341,1000,35,35
633,0020383,1000,0,0
634,0020499,1000,3,3
635,0020500,1000,15,15
636,0020503,1000,39,39
637,0020504,1000,51,51
638,0020505,1000,34,34
639,0020506,1000,24,24
640,0020510,1000,17,17
641,0020512,1000,23,23
642,0020513,1000,29,29
643,0020586,1000,67,67
644,0020595,1000,12,12
645,0020596,1000,20,20
646,0020597,1000,34,34
647,0020794,1000,24,24
648,0020797,1000,44,44
649,0020798,1000,66,66
650,0020829,1000,4,4
651,0020919,1000,4,4
652,0020961,1000,16,16
653,0020963,1000,29,29
654,0021072,1000,0,0
655,0021092,1000,0,0
656,0021095,1000,0,0
657,0021100,1000,7,7
658,0021270,1000,9,9
659,0021286,1000,0,0
660,0021287,1000,0,0
661,0021288,1000,0,0
662,0021289,1000,0,0
663,0021314,1000,2,2
664,0021318,1000,11,11
665,0021352,1000,3,3
666,0021382,1000,0,0
667,0021383,1000,4,4
668,0021384,1000,4,4
669,0021385,1000,0,0
670,0021404,1000,0,0
671,0021409,1000,8,8
672,0021474,1000,5,5
673,0021475,1000,8,8
674,0021476,1000,24,24
675,0021486,1000,0,0
676,0021492,1000,12,12
677,0021517,1000,16,16
678,0021519,1000,21,21
679,0021520,1000,12,12
680,0021521,1000,12,12
681,0021523,1000,12,12
682,0021524,1000,13,13
683,0021525,1000,0,0
684,0021581,1000,0,0
685,0021582,1000,0,0
686,0021625,1000,0,0
687,0021626,1000,9,9
688,0021627,1000,0,0
689,0021628,1000,5,5
690,0021629,1000,8,8
691,0021630,1000,7,7
692,0021632,1000,0,0
693,0021633,1000,6,6
694,0021635,1000,5,5
695,0021637,1000,6,6
696,0021640,1000,5,5
697,0021641,1000,0,0
698,0021642,1000,5,5
699,0021643,1000,0,0
700,0021644,1000,0,0
701,0021645,1000,4,4
702,0021646,1000,6,6
703,0021647,1000,0,0
704,0021649,1000,0,0
705,0021651,1000,0,0
706,0021653,1000,0,0
707,0021659,1000,10,10
708,0021661,1000,31,31
709,0021673,1000,7,7
710,0021675,1000,0,0
711,0021676,1000,0,0
712,0021839,1000,7,7
713,0021840,1000,5,5
714,0021841,1000,0,0
715,0021844,1000,0,0
716,0021845,1000,0,0
717,0021846,1000,11,11
718,0021849,1000,4,4
719,0021970,1000,17,17
720,0021971,1000,22,22
721,0021972,1000,19,19
722,0021996,1000,0,0
723,0022003,1000,17,17
724,0022004,1000,10,10
725,0022005,1000,12,12
726,0022063,1000,0,0
727,0022064,1000,0,0
728,0022065,1000,0,0
729,0022099,1000,5,5
730,0022101,1000,3,3
731,0022102,1000,8,8
732,0022103,1000,0,0
733,0022104,1000,0,0
734,0022107,1000,15,15
735,0022108,1000,0,0
736,0022836,1000,21,21
737,0022907,1000,7,7
738,0022930,1000,43,43
739,0022945,1000,828,828
740,0022946,1000,304,304
741,0022947,1000,91,91
742,0022948,1000,1,1
743,0022949,1000,12,12
744,0022968,1000,441,441
745,0022991,1000,41,41
746,0022992,1000,28,28
747,0023006,1000,3085,3085
748,0023007,1000,1372,1372
749,0023008,1000,1634,1634
750,0023030,1000,16,16
751,0023083,1000,145,145
752,0023177,1000,0,0
753,0023178,1000,6,6
754,0023229,1000,30,30
755,0023231,1000,8,8
756,0023235,1000,46,46
757,0023257,1000,0,0
758,0023273,1000,0,0
759,0023283,1000,0,0
760,0023297,1000,0,0
761,0023305,1000,0,0
762,0023339,1000,0,0
763,0023443,1000,65,65
764,0023445,1000,22,22
765,0023447,1000,0,0
766,0023452,1000,6,6
767,0023454,1000,25,25
768,0023463,1000,27,27
769,0023466,1000,6,6
770,0023472,1000,0,0
771,0023475,1000,0,0
772,0023535,1000,0,0
773,0023538,1000,0,0
774,0023550,1000,0,0
775,0023560,1000,0,0
776,0023739,1000,0,0
777,0023772,1000,57,57
778,0023793,1000,35,35
779,0023794,1000,0,0
780,0023816,1000,31,31
781,0023822,1000,7,7
782,0023913,1000,53,53
783,0023945,1000,4,4
784,0023998,1000,7,7
785,0024135,1000,7,7
786,0024154,1000,25,25
787,0024155,1000,7,7
788,0024156,1000,4,4
789,0024167,1000,3,3
790,0024169,1000,7,7
791,0024172,1000,1,1
792,0024174,1000,2,2
793,0024176,1000,13,13
794,0024177,1000,4,4
795,0024178,1000,5,5
796,0024181,1000,0,0
797,0024182,1000,4,4
798,0024183,1000,4,4
799,0024184,1000,12,12
800,0024186,1000,11,11
801,0024189,1000,30,30
802,0024191,1000,4,4
803,0024193,1000,3,3
804,0024195,1000,5,5
805,0024196,1000,11,11
806,0024199,1000,5,5
807,0024200,1000,12,12
808,0024201,1000,3,3
809,0024202,1000,5,5
810,0024206,1000,3,3
811,0024208,1000,25,25
812,0024209,1000,8,8
813,0024210,1000,4,4
814,0024212,1000,8,8
815,0024213,1000,21,21
816,0024214,1000,5,5
817,0024215,1000,3,3
818,0024217,1000,13,13
819,0024226,1000,0,0
820,0024227,1000,0,0
821,0024239,1000,5,5
822,0024292,1000,0,0
823,0024299,1000,55,55
824,0024402,1000,4,4
825,0024442,1000,0,0
826,0024443,1000,27,27
827,0024545,1000,1,1
828,0024546,1000,7,7
829,0025129,1000,7,7
830,0025131,1000,9,9
831,0025209,1000,14,14
832,0025279,1000,52,52
833,0025281,1000,28,28
834,0025287,1000,20,20
835,0025300,1000,36,36
836,0025312,1000,2,2
837,0025317,1000,4,4
838,0025352,1000,0,0
839,0025362,1000,0,0
840,0025363,1000,0,0
841,0025365,1000,0,0
842,0025366,1000,0,0
843,0025368,1000,0,0
844,0025419,1000,25,25
845,0025518,1000,7,7
846,0025566,1000,34,34
847,0025570,1000,8,8
848,0025571,1000,7,7
849,0025654,1000,5,5
850,0025655,1000,3,3
851,0025658,1000,17,17
852,0025687,1000,-15,-15
853,0025731,1000,0,0
854,0025750,1000,-19,-19
855,0025751,1000,-18,-18
856,0025752,1000,-33,-33
857,0025753,1000,-15,-15
858,0025754,1000,0,0
859,0025755,1000,-21,-21
860,0025764,1000,11,11
861,0026138,1000,2,2
862,0026140,1000,0,0
863,0026142,1000,13,13
864,0026146,1000,14,14
865,0026150,1000,0,0
866,0026153,1000,0,0
867,0026157,1000,0,0
868,0026246,1000,36,36
869,0026249,1000,27,27
870,0026260,1000,0,0
871,0026265,1000,0,0
872,0026266,1000,0,0
873,0026304,1000,18,18
874,0026306,1000,50,50
875,0026308,1000,13,13
876,0026311,1000,14,14
877,0026312,1000,0,0
878,0026314,1000,20,20
879,0026315,1000,28,28
880,0026316,1000,28,28
881,0026321,1000,37,37
882,0026362,1000,0,0
883,0026365,1000,3,3
884,0026372,1000,4,4
885,0026374,1000,6,6
886,0026377,1000,0,0
887,0026456,1000,23,23
888,0026460,1000,4,4
